B3,1.0
D4,0.5
E4,0.25
C#5,0.25
A5,0.25
A4,0.75
F4,1.75
F5,0.75
D5,0.25
D5,0.25
F5,0.25
A5,0.25
A5,0.75
F5,0.25
C5,0.25
F5,0.25
B-4,0.75
F4,0.25
G4,0.5
G4,0.25
G#4,0.25
F4,0.25
B-4,0.25
G#4,0.25
A4,0.5
D4,0.25
F4,0.75
C3,0.25
B2,0.5
B2,0.25
C2,0.25
E2,0.25
F2,0.25
C5,0.5
D5,0.25
D5,0.25
G5,0.25
G#5,0.75
G#5,0.25
F5,0.25
C5,1.25
F5,0.5
E5,0.25
G5,0.75
F5,0.75
D5,0.75
G#4,1.0
F4,0.25
G4,0.25
F3,0.25
G3,0.75
A3,0.25
E3,0.25
B-3,3.0
A3,0.75
E-3,0.25
B-4,0.75
C#4,0.25
G#3,0.75
D3,0.25
D4,0.25
D6,0.25
D6,0.25
B-5,0.75
F5,0.25
F5,0.25
C#5,0.75
D5,0.25
F4,0.25
G4,0.25
G4,0.25
G#4,0.5
G4,2.0
F4,1.75
F4,0.25
G4,0.5
D5,0.25
E5,0.75
F4,1.75
G#4,3.0
D4,0.25
B2,0.25
F3,0.25
G#3,0.25
B-4,1.0
D4,0.25
C3,0.75
A3,0.25
B4,1.75
B4,0.25
G#4,0.25
F4,0.75
G4,0.25
B3,0.25
G#3,0.25
F3,0.75
E3,0.25
B3,0.25
C3,0.25
D3,0.25
C3,0.25
G5,0.25
A5,1.0
E5,0.25
E-5,0.25
C5,0.25
B-4,0.25
F#3,0.25
F3,0.75
E-4,0.25
D4,0.25
C4,2.0
G4,0.25
E4,0.5
F4,0.5
G4,0.25
G#4,0.25
B-4,0.25
B4,0.25
C5,0.75
G5,0.25
B-4,0.25
A4,0.25
A4,1.0
G#4,1.0
G4,0.25
F4,0.25
F4,0.25
G4,0.25
D5,0.25
E5,0.25
F4,0.75
G#4,0.25
D4,0.25
F3,0.5
D3,0.25
G#3,1.0
C3,0.25
E5,0.25
F6,0.25
E6,0.25
D6,0.25
E5,0.75
C3,0.25
A3,0.25
C5,0.25
D6,0.25
C6,0.25
F5,1.25
B-5,0.25
G#5,0.25
A5,0.25
F5,0.25
C5,0.75
E-6,0.25
D6,1.0
C#6,0.25
B5,0.25
G#5,0.25
G5,0.25
D5,0.25
G#5,0.25
F5,1.0
B5,0.25
G#5,0.5
D6,0.25
B4,0.75
D4,0.25
B-4,0.25
B3,0.25
G#3,0.25
G#3,0.25
D4,0.25
C6,0.25
B-5,0.25
C5,0.25
C4,0.25
E4,0.5
C5,0.25
F5,0.25
F5,0.25
G5,0.25
E5,0.25
E5,0.25
A4,0.25
D4,1.0
C4,0.25
A4,1.0
D4,0.5
G3,0.25
G5,0.5
A6,0.25
F4,0.25
C4,0.25
F4,0.25
F5,0.25
A5,0.25
D6,0.25
F6,0.75
E-6,0.25
F6,0.25
D5,0.25
B-3,0.25
C4,0.25
E-4,0.25
G4,0.25
G#5,1.0
A5,0.25
F5,0.25
D5,0.25
D5,0.75
F5,0.75
G4,0.75
D4,0.25
G2,1.75
G#3,0.25
F3,0.25
G2,0.25
F#2,0.25
G2,0.25
G2,0.25
C4,0.25
F4,0.75
B-4,0.75
A4,0.25
A4,0.25
F4,0.25
G4,0.25
E4,0.25
F4,0.25
D4,0.25
A3,3.25
F3,0.25
G3,0.75
G#3,1.0
F3,0.25
G3,0.25
D3,0.5
F3,0.75
C4,0.25
D4,0.75
E-4,0.25
E4,0.25
G4,0.5
F4,0.25
D4,1.0
C#4,0.25
A5,0.75
F#6,0.25
A6,0.25
E6,0.25
G4,0.25
B-3,0.5
B-3,0.75
E4,0.25
F4,0.25
C4,0.25
E4,0.25
D6,0.25
D6,0.25
E6,0.25
E6,0.25
G5,0.25
F4,1.25
D3,1.0
F3,0.5
G3,0.25
F3,0.5
A3,0.25
B-3,0.5
B3,0.5
A3,0.25
B3,0.25
C4,0.25
C#4,1.0
D4,0.75
C4,0.25
D4,0.25
E-4,0.25
E4,0.25
F4,0.25
E4,0.25
F4,0.75
G4,0.25
G#4,0.75
B-4,0.25
B4,0.25
C#5,1.0
D5,0.25
E-5,0.25
E5,0.5
G5,0.25
F5,0.25
D5,1.0
G#4,0.25
F4,0.25
G4,1.0
D5,1.25
E5,0.75
F4,0.25
G#4,0.5
D4,0.25
F4,0.25
C4,0.25
D5,0.25
D3,0.25
B2,0.5
C#4,0.25
B4,0.75
F4,0.25
A4,0.25
A4,0.25
D4,0.75
F#4,2.0
F#3,0.25
F#3,0.25
C4,0.25
C#5,0.25
D5,0.25
F4,0.25
F4,1.0
A4,0.25
D5,0.25
F5,0.25
A5,0.25
A5,0.25
F5,0.75
D5,0.75
D5,0.25
F5,0.25
G4,0.25
D4,0.25
G2,0.25
G#3,0.25
F3,0.25
G2,0.25
F#2,0.25
G2,0.25
G2,0.25
C4,1.0
F4,0.25
B-4,0.25
A4,0.25
A4,0.25
B-4,0.25
B4,0.25
E-4,0.25
G4,0.25
B-4,0.25
B4,0.75
D5,0.25
E-5,0.75
D5,0.25
C5,1.0
B-4,0.75
G#4,1.0
A4,0.25
E3,0.75
F3,0.25
F3,0.25
F4,0.25
G4,0.25
D3,0.25
E3,1.75
G3,0.25
F3,0.75
A3,0.25
D3,0.25
B-5,0.25
F5,2.0
D4,0.25
G#3,0.25
B2,0.25
B4,0.25
D6,3.0
F6,0.25
G#6,1.5
F6,0.25
A5,0.25
F5,0.25
A6,0.25
F6,0.25
C6,0.25
B-5,0.75
G#5,0.75
A5,0.25
B5,0.25
F#6,0.25
E-6,0.25
F5,0.25
E-4,0.25
F4,0.5
E-6,0.25
C5,0.25
D5,0.75
C#6,0.25
C6,1.0
B-5,1.25
G5,0.5
F5,0.25
E-5,0.25
C#5,0.25
D5,1.25
F4,1.0
F4,0.25
A4,0.25
D5,1.0
F5,0.75
A5,0.25
A5,0.25
F5,0.25
D4,0.25
E-3,0.5
C3,0.75
A3,0.25
F4,0.5
F4,0.25
G#4,0.25
A4,0.25
F4,0.75
C4,1.75
B-3,0.75
G3,0.75
F3,0.25
D3,0.25
B3,0.25
G#3,0.25
G3,0.25
F3,1.75
F4,0.25
E4,0.25
E-4,0.25
B3,0.25
G#3,0.25
B1,0.75
